case_name,predicted_output,expected_output,correct,input_tokens,output_tokens,latency,cost,expt_name
ex044,1,0,False,5394.0,19136.0,350.3858563899994,0.007358999999999999,murder_orchestrated_64k
ex098,1,0,False,5295.0,19027.0,289.7189724445343,0.0072965999999999994,murder_orchestrated_64k
ex184,0,0,True,5316.0,20469.0,298.8099138736725,0.0077355,murder_orchestrated_64k
ex123,1,1,True,6072.0,22164.0,379.04244112968445,0.008470799999999999,murder_orchestrated_64k
ex121,1,1,True,6479.0,20510.0,425.27898144721985,0.0080967,murder_orchestrated_64k
ex167,0,1,False,4970.0,22718.0,382.0234761238098,0.008306399999999999,murder_orchestrated_64k
ex009,1,1,True,4986.0,19391.0,384.94971227645874,0.0073130999999999995,murder_orchestrated_64k
ex176,0,0,True,6306.0,18705.0,329.39668679237366,0.0075033,murder_orchestrated_64k
ex197,0,1,False,5839.0,21101.0,322.27167677879333,0.008082,murder_orchestrated_64k
ex113,1,1,True,5461.0,15915.0,213.16998434066772,0.0064128,murder_orchestrated_64k
